City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Labuan,MY,79.41,few clouds,5.2767,115.2417,Labuan Avenue Hotel
481,Huarmey,PE,70.25,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
485,Port Lincoln,AU,70.05,light rain,-34.7333,135.8667,Boston Hotel
488,Porto Novo,BJ,74.84,clear sky,6.4965,2.6036,Hôtel 6500 CFA
496,Camocim,BR,73.53,overcast clouds,-2.9022,-40.8411,Hotel Camocim
497,Kimbe,PG,82.26,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
509,Angoche,MZ,76.05,light rain,-16.2325,39.9086,Hotel Quirimbas
512,Zarate,AR,79.83,broken clouds,-34.0981,-59.0286,Naciones Hotel
514,Isangel,VU,81.88,overcast clouds,-19.55,169.2667,Tanna Lodge
517,Carmen,MX,75.24,clear sky,18.6333,-91.8333,Holiday Inn Express
518,Voi,KE,70.07,broken clouds,-3.3945,38.563,Fine Breeze Hotel
523,Ambilobe,MG,71.58,overcast clouds,-13.2,49.05,Hôtel National
531,Kapit,MY,86.94,broken clouds,2.0167,112.9333,Haip
542,Batemans Bay,AU,77.09,clear sky,-35.7167,150.1833,Esplanade Hotel
547,Tual,ID,83.41,overcast clouds,-5.6667,132.75,Suita
548,Pisco,PE,71.65,clear sky,-13.7,-76.2167,La Portada
550,Kupang,ID,83.66,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
553,Faaa,PF,83.95,broken clouds,-17.55,-149.6,Ancien Hôtel Hilton
555,Byron Bay,AU,82.94,clear sky,-28.65,153.6167,Lord Byron Resort
558,San Carlos,VE,73.72,clear sky,9.6612,-68.5827,Hotel Villas del Norte
562,Sao Jose Da Coroa Grande,BR,76.91,overcast clouds,-8.8978,-35.1478,Hotel do Sol
567,San Nicolas,PH,80.96,broken clouds,18.1725,120.5953,Mira de Polaris Hotel
574,Viedma,AR,72.57,overcast clouds,-40.8135,-62.9967,Níjar
578,General Roca,AR,74.08,overcast clouds,-39.0333,-67.5833,Hotel Austral
588,Grand Gaube,MU,79.38,light rain,-20.0064,57.6608,Coco Villa
589,Kumba,CM,70.54,overcast clouds,4.6363,9.4469,Sharma Rock Hotel
595,Richards Bay,ZA,70.77,broken clouds,-28.783,32.0377,Protea Hotel
597,Sadao,TH,80.42,overcast clouds,6.6388,100.4234,S.T. Hotel
600,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
601,Nabire,ID,86.54,broken clouds,-3.3667,135.4833,Hotel Anggrek
606,Port Shepstone,ZA,72.68,clear sky,-30.7414,30.455,The Spot Backpackers'
609,San-Pedro,CI,75.47,clear sky,4.7485,-6.6363,Hôtel La Cité De San Pédro
610,Alta Floresta,BR,71.02,overcast clouds,-9.8756,-56.0861,Villas Hotel
615,Cockburn Town,TC,74.01,clear sky,21.4612,-71.1419,The Salt Raker Inn
619,Reconquista,AR,80.17,broken clouds,-29.15,-59.65,Hotel San Martin
620,Daru,PG,85.89,overcast clouds,-9.0763,143.2092,Kuki
621,Prado,BR,74.7,few clouds,-17.3411,-39.2208,Pousada Recanto do Prado
623,Acapulco,MX,76.82,few clouds,16.8634,-99.8901,Hotel del Valle
625,Morant Bay,JM,74.82,clear sky,17.8815,-76.4093,Morant Villas
629,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
630,Karratha,AU,87.71,broken clouds,-20.7377,116.8463,Karratha International Hotel
631,Champerico,GT,77.18,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
642,Camopi,GF,70.92,overcast clouds,3.1655,-52.3158,Chez Lucia
644,Tutoia,BR,74.05,overcast clouds,-2.7619,-42.2744,Pousada San Vicente
646,Rumonge,BI,70.65,overcast clouds,-3.9736,29.4386,FREEDOM SNAK BAR
652,Moron,AR,83.97,broken clouds,-34.6534,-58.6198,La Esquina
664,Launceston,AU,80.24,broken clouds,-41.45,147.1667,Hotel Charles
666,Puerto Carreno,CO,80.64,overcast clouds,6.189,-67.4859,Carreño Plaza
690,Hervey Bay,AU,72.01,light rain,-25.2986,152.8535,Hervey Bay Hotel
693,Banda Aceh,ID,80.24,broken clouds,5.5577,95.3222,Hotel 61
701,Saint-Georges,GD,74.88,few clouds,12.0564,-61.7485,Deyna's City Inn
703,Manta,EC,78.58,broken clouds,-0.95,-80.7333,La Gaviota
706,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
707,Namibe,AO,73.99,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
709,Cooma,AU,86.36,clear sky,-36.2333,149.1333,Royal Hotel
