City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kamuli,UG,2023-01-10 13:55:17,0.9472,33.1197,79.47,47,89,4.16
68,Chokurdakh,RU,2023-01-10 13:55:17,70.6333,147.9167,-41.64,100,65,2.15
69,Quatre Cocos,MU,2023-01-10 13:55:18,-20.2078,57.7625,81.09,75,24,10.98
70,Cherskiy,RU,2023-01-10 13:55:18,68.75,161.3,-20.83,97,100,4.72
71,Teya,RU,2023-01-10 13:55:19,60.3778,92.6267,-18.65,92,100,9.26
72,Coquimbo,CL,2023-01-10 13:55:19,-29.9533,-71.3436,67.73,72,0,4.61
73,Bethel,US,2023-01-10 13:52:07,41.3712,-73.414,39.49,77,20,4.61
74,Alofi,NU,2023-01-10 13:52:08,-19.0595,-169.9187,78.69,94,100,8.05
75,Nueve De Julio,AR,2023-01-10 13:55:21,-35.4444,-60.8831,86.97,45,38,5.01
76,Puerto Ayora,EC,2023-01-10 13:54:28,-0.7393,-90.3518,72.55,91,26,5.17
77,Buje,HR,2023-01-10 13:55:21,45.41,13.6619,53.31,70,0,6.91
78,Kranuan,TH,2023-01-10 13:55:22,16.7067,103.0788,77.45,69,92,5.64
79,Manokwari,ID,2023-01-10 13:55:22,-0.8667,134.0833,79.18,80,86,3.11
80,Sola,VU,2023-01-10 13:55:23,-13.8833,167.55,80.46,82,100,18.77
81,Hamilton,US,2023-01-10 13:55:12,39.1834,-84.5333,36.99,81,100,3.0
82,Khatanga,RU,2023-01-10 13:55:24,71.9667,102.5,-29.58,98,100,12.57
83,Vardo,NO,2023-01-10 13:55:24,70.3705,31.1107,22.98,86,20,34.52
84,Rocha,UY,2023-01-10 13:51:26,-34.4833,-54.3333,84.96,36,0,7.65
85,Touros,BR,2023-01-10 13:54:23,-5.1989,-35.4608,84.9,61,75,14.03
86,Gijon,ES,2023-01-10 13:53:05,43.5357,-5.6615,65.84,59,86,3.0
87,Bilibino,RU,2023-01-10 13:55:26,68.0546,166.4372,-3.19,95,100,1.23
88,Okhotsk,RU,2023-01-10 13:55:26,59.3833,143.3,-25.17,85,17,7.76
